2020-03-19 23:28:06,321 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-03-19 23:28:06,399 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-03-19 23:28:06,421 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-03-19 23:28:06,442 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-03-19 23:28:06,474 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-03-19 23:28:06,474 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-03-19 23:28:07,029 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-03-19 23:29:33,704 INFO  SwAddin.cs: 271 - Assembly export called for file 2018_Assembly.SLDASM
2020-03-19 23:29:37,089 INFO  SwAddin.cs: 290 - Saving assembly
2020-03-19 23:29:40,936 INFO  SwAddin.cs: 293 - Opening property manager
2020-03-19 23:29:40,961 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from 2018_Assembly.SLDASM
2020-03-19 23:29:41,030 INFO  ExportHelperExtension.cs: 1142 - Found 56 in 2018_Assembly.SLDASM
2020-03-19 23:29:41,033 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in 2018_Assembly.SLDASM
2020-03-19 23:29:41,033 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-03-19 23:29:41,036 INFO  ExportHelperExtension.cs: 1167 - 8 components to check
2020-03-19 23:29:41,036 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from kick system-1
2020-03-19 23:29:41,036 INFO  ExportHelperExtension.cs: 1142 - Found 48 in kick system-1
2020-03-19 23:29:41,040 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in kick system-1
2020-03-19 23:29:41,042 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from BASE-1
2020-03-19 23:29:41,043 INFO  ExportHelperExtension.cs: 1142 - Found 75 in BASE-1
2020-03-19 23:29:41,043 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in BASE-1
2020-03-19 23:29:41,043 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from MOUTH_CAN-1
2020-03-19 23:29:41,191 INFO  ExportHelperExtension.cs: 1142 - Found 110 in MOUTH_CAN-1
2020-03-19 23:29:41,193 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in MOUTH_CAN-1
2020-03-19 23:29:41,194 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from 2018_Assembly.SLDASM
2020-03-19 23:29:41,195 INFO  ExportHelperExtension.cs: 1142 - Found 56 in 2018_Assembly.SLDASM
2020-03-19 23:29:41,196 INFO  ExportHelperExtension.cs: 1152 - Found 4 features of type [RefAxis] in 2018_Assembly.SLDASM
2020-03-19 23:29:41,197 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-03-19 23:29:41,197 INFO  ExportHelperExtension.cs: 1167 - 8 components to check
2020-03-19 23:29:41,198 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from kick system-1
2020-03-19 23:29:41,199 INFO  ExportHelperExtension.cs: 1142 - Found 48 in kick system-1
2020-03-19 23:29:41,200 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in kick system-1
2020-03-19 23:29:41,201 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from BASE-1
2020-03-19 23:29:41,202 INFO  ExportHelperExtension.cs: 1142 - Found 75 in BASE-1
2020-03-19 23:29:41,203 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in BASE-1
2020-03-19 23:29:41,204 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from MOUTH_CAN-1
2020-03-19 23:29:41,205 INFO  ExportHelperExtension.cs: 1142 - Found 110 in MOUTH_CAN-1
2020-03-19 23:29:41,206 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in MOUTH_CAN-1
2020-03-19 23:29:42,251 INFO  SwAddin.cs: 316 - Loading config tree
2020-03-19 23:29:42,255 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2020-03-19 23:29:42,268 INFO  SwAddin.cs: 321 - Showing property manager
2020-03-19 23:31:36,277 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-03-19 23:32:57,768 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-03-19 23:33:05,522 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-03-19 23:33:46,520 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-03-19 23:34:12,244 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-03-19 23:37:59,868 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
